ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,SeqNo,Locked,SettlementCase
CLOADNSWCE,COUNTRYENERGY,2018/01/23,2018/05/31 22:01:11,30.086,21.739,17.371,18.363,15.751,10.649,7.915,17.312,16.914,18.386,17.838,10.949,6.432,7.198,1.876,2.043,11.350,12.745,6.155,5.790,13.070,6.704,4.326,5.471,6.709,5.224,4.846,3.628,6.705,6.379,5.195,2.905,3.302,5.507,3.823,5.450,8.977,6.123,11.183,11.921,15.883,20.419,24.194,67.328,96.981,68.757,47.941,38.927,3,N,6577
CLOADNSWCE,COUNTRYENERGY,2018/01/24,2018/05/31 22:01:11,33.473,29.682,14.079,16.536,12.306,18.073,15.933,13.049,15.190,14.158,14.276,12.406,6.337,7.303,2.679,0.867,8.381,6.305,5.997,6.984,10.729,8.375,11.246,7.515,8.278,4.458,1.690,4.281,4.913,4.632,1.060,2.778,5.251,4.564,3.657,7.765,6.967,5.931,10.930,11.572,16.286,21.846,20.115,64.481,92.948,67.123,44.904,44.907,4,N,6577
CLOADNSWCE,COUNTRYENERGY,2018/01/25,2018/05/31 22:01:11,40.363,31.184,14.323,16.855,13.014,12.809,7.651,10.167,14.937,16.373,23.641,17.961,9.394,5.758,3.384,4.956,7.949,5.611,9.859,9.301,8.570,5.456,3.654,4.107,8.883,6.367,6.475,7.741,3.888,1.775,3.390,1.064,3.922,3.232,3.617,3.900,7.889,5.459,9.744,11.422,13.827,20.147,24.612,67.712,85.548,61.748,34.269,34.993,5,N,6577
CLOADNSWCE,COUNTRYENERGY,2018/01/26,2018/05/31 22:01:11,38.767,33.423,13.489,16.137,8.403,15.918,9.934,6.042,10.570,12.587,15.605,16.378,7.686,4.550,2.960,5.156,6.534,10.113,8.712,12.828,14.329,7.209,4.142,6.894,5.836,5.094,5.695,1.885,5.571,2.218,2.249,3.170,3.897,2.630,1.429,0.951,2.513,8.068,9.714,11.249,12.707,19.904,27.115,69.167,88.290,60.834,41.481,47.136,6,N,6577
CLOADNSWCE,COUNTRYENERGY,2018/01/27,2018/05/31 22:01:11,33.692,20.229,15.232,17.552,11.920,11.006,10.236,7.745,10.088,20.190,14.811,16.219,13.176,23.041,15.543,14.735,19.707,17.902,24.758,21.738,22.745,18.554,17.967,11.154,13.737,21.323,21.759,11.518,12.322,11.149,13.554,7.169,7.735,6.877,5.068,10.735,7.264,8.535,13.908,15.037,12.547,15.303,19.407,44.236,41.521,17.402,20.769,23.784,7,N,6577
CLOADNSWCE,COUNTRYENERGY,2018/01/28,2018/05/31 22:01:11,20.962,17.964,13.634,13.946,11.585,9.874,6.017,7.351,14.223,9.958,13.827,9.387,14.199,14.351,20.597,16.725,19.829,17.594,18.399,25.196,21.260,21.011,24.460,15.820,15.701,21.913,16.713,14.476,18.179,14.188,15.461,7.496,7.022,10.464,6.627,9.416,12.044,15.662,16.272,15.094,23.182,24.942,25.727,43.994,44.747,27.994,17.938,25.120,1,N,6577
CLOADNSWCE,COUNTRYENERGY,2018/01/29,2018/05/31 22:01:11,29.879,22.888,11.728,11.469,11.193,11.993,8.959,8.137,13.280,15.000,18.072,16.202,5.801,3.840,1.701,1.171,5.878,9.317,8.746,8.540,11.533,5.559,7.564,6.599,16.132,7.306,4.507,7.050,8.889,2.633,2.480,4.996,6.426,4.323,3.766,4.502,6.455,4.783,9.608,13.330,15.585,29.339,31.250,77.198,105.570,67.960,45.477,45.787,2,N,6577
CLOADNSWCE,COUNTRYENERGY,2018/01/30,2018/05/31 22:01:11,41.201,27.808,19.182,18.005,16.716,13.652,10.281,11.560,18.459,22.139,17.858,22.407,10.899,7.996,3.571,2.200,7.247,6.466,8.878,6.946,7.707,12.762,8.326,2.568,9.059,4.825,5.375,9.834,6.804,4.191,3.029,5.309,3.834,4.548,3.884,7.008,6.326,8.474,13.910,13.303,16.011,28.018,26.959,62.802,104.195,82.622,63.334,46.390,3,N,6577
CLOADNSWCE,COUNTRYENERGY,2018/01/31,2018/05/31 22:01:11,48.282,39.270,21.818,14.395,14.868,8.959,12.253,11.843,13.543,21.467,15.890,23.264,6.741,9.705,6.731,4.233,11.851,14.134,9.001,11.842,15.211,7.050,6.441,8.245,10.894,3.268,4.843,2.637,1.580,1.843,3.331,2.348,3.227,3.845,7.140,5.437,2.186,6.234,15.578,12.355,20.787,31.371,26.966,71.543,109.956,85.423,57.235,55.292,4,N,6577
CLOADNSWCE,COUNTRYENERGY,2018/02/01,2018/05/31 22:01:11,49.694,45.813,25.415,18.065,16.839,13.275,10.267,14.830,9.180,16.944,23.052,24.971,9.431,6.919,10.487,3.251,7.976,11.933,10.101,9.631,13.701,10.850,7.005,11.548,6.766,6.541,4.478,5.901,4.460,5.527,4.039,2.798,3.304,5.516,3.979,4.989,10.084,5.034,12.364,15.427,19.262,28.331,29.834,72.904,105.469,96.626,68.499,62.827,5,N,6577
CLOADNSWCE,COUNTRYENERGY,2018/02/02,2018/05/31 22:01:11,60.851,40.137,24.512,17.319,16.936,12.677,13.804,13.379,21.190,19.305,20.739,29.790,9.584,7.319,5.697,5.951,7.153,12.067,14.700,14.323,13.737,13.384,13.493,5.811,12.135,6.806,3.206,4.106,5.495,3.175,5.152,3.356,0.573,4.165,5.745,6.469,6.240,7.363,10.276,13.074,17.846,30.914,29.768,78.113,123.019,97.980,71.263,57.848,6,N,6577
CLOADNSWCE,COUNTRYENERGY,2018/02/03,2018/05/31 22:01:11,68.980,53.811,34.391,20.427,17.870,12.849,15.856,6.427,15.961,11.955,17.641,17.218,24.630,28.376,24.925,26.624,28.749,32.910,27.373,23.467,27.128,33.445,29.815,30.215,17.217,20.657,21.384,21.070,21.134,14.661,16.618,12.896,10.339,9.963,7.800,6.732,16.290,12.566,11.139,8.378,19.027,24.308,23.562,42.388,59.283,35.398,34.009,30.828,7,N,6577
CLOADNSWCE,COUNTRYENERGY,2018/02/04,2018/06/28 22:04:56,31.329,31.002,16.060,9.177,10.241,11.600,14.018,13.934,13.457,17.778,21.319,12.047,17.069,28.494,28.512,26.775,25.272,34.660,37.571,27.810,29.396,23.309,25.045,27.712,29.151,29.618,18.996,23.803,18.774,14.246,10.358,10.767,8.784,12.240,10.833,9.212,15.631,11.544,12.642,21.737,24.764,28.735,25.240,52.144,64.892,33.327,24.411,33.578,1,N,6628
